Номер ВОС;Найменування ВОС;Розділ;Підрозділ
003;Оперативно-тактичних ракет;1. Ракетні спеціальності;1.1. Спеціальності двигунових установок ракет на рідкому паливі
004;Зенітних ракет;1. Ракетні спеціальності;1.1. Спеціальності двигунових установок ракет на рідкому паливі
007;Крилатих ракет;1. Ракетні спеціальності;1.1. Спеціальності двигунових установок ракет на рідкому паливі
008;Протичовнових ракет;1. Ракетні спеціальності;1.1. Спеціальності двигунових установок ракет на рідкому паливі
015;Оперативно-тактичних ракет;1. Ракетні спеціальності;1.2. Спеціальності двигунових установок ракет на твердому паливі
016;Тактичних ракет;1. Ракетні спеціальності;1.2. Спеціальності двигунових установок ракет на твердому паливі
019;Зенітних ракет;1. Ракетні спеціальності;1.2. Спеціальності двигунових установок ракет на твердому паливі
020;Крилатих ракет;1. Ракетні спеціальності;1.2. Спеціальності двигунових установок ракет на твердому паливі
021;Протичовнових ракет;1. Ракетні спеціальності;1.2. Спеціальності двигунових установок ракет на твердому паливі
028;Оперативно-тактичних ракет;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
029;Тактичних ракет;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
033;Зенітних ракет дальньої дії;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
034;Зенітних ракет середньої дії;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
035;Зенітних ракет малої дії;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
036;Зенітних ракет малої дії (автономних комплексів);1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
037;Зенітних ракет ближньої дії;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
038;Крилатих ракет;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
039;Протичовнових ракет;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
040;Монтажного і такелажного устаткування;1. Ракетні спеціальності;1.3. Спеціальності стартового і підйомно-транспортного устаткування
047;Оперативно-тактичних ракет;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
048;Тактичних ракет;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
052;Зенітних ракет дальньої дії;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
053;Зенітних ракет середньої дії;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
054;Зенітних ракет малої дії;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
055;Зенітних ракет малої дії (автономних комплексів);1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
056;Зенітних ракет ближньої дії;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
057;Крилатих ракет;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
058;Протичовнових ракет;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
059;Силових електричних агрегатів;1. Ракетні спеціальності;1.4. Спеціальності приладів систем управління ракет, перевіряльно-пускового електрообладнання та силових агрегатів ракетних комплексів
065;Оперативно-тактичних ракет;1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
069;Зенітних ракет дальньої дії;1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
070;Зенітних ракет середньої дії;1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
071;Зенітних ракет малої дії;1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
072;Зенітних ракет малої дії (автономних комплексів);1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
073;Зенітних ракет ближньої дії;1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
074;Крилатих ракет;1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
075;Протичовнових ракет;1. Ракетні спеціальності;1.5. Спеціальності радіотехнічних засобів управління ракетами
081;Оперативно-тактичних ракет;1. Ракетні спеціальності;1.6. Спеціальності заправного устаткування ракет
084;Зенітних ракет;1. Ракетні спеціальності;1.6. Спеціальності заправного устаткування ракет
085;Крилатих ракет;1. Ракетні спеціальності;1.6. Спеціальності заправного устаткування ракет
086;Протичовнових ракет;1. Ракетні спеціальності;1.6. Спеціальності заправного устаткування ракет
100;Стрілецькі;2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
101;Кулеметні;2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
102;Гранатометні (автоматичних протипіхотних гранатометів);2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
103;Гранатометні (ручних і станкових протитанкових гранатометів);2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
104;Переносних зенітних ракетних комплексів;2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
105;Оперативної розвідки;2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
106;Військової розвідки;2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
107;Розвідки (частин спеціального призначення та спеціальних операцій);2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
108;Спеціальної розвідки;2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
109;Розвідувально-сигнальних комплексів;2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
110;Снайперські;2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
111;Протитанкових ракетних комплексів;2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
112;Бойових роботизованих модулів;2. Загальновійськові спеціальності;2.1. Стрілецькі та розвідувальні спеціальності
113;Середніх танків;2. Загальновійськові спеціальності;2.2. Танкові спеціальності
116;Танків з плавзасобами;2. Загальновійськові спеціальності;2.2. Танкові спеціальності
117;Танків з ракетно-гарматним озброєнням;2. Загальновійськові спеціальності;2.2. Танкові спеціальності
118;Важких та середніх самохідних артилерійських установок;2. Загальновійськові спеціальності;2.2. Танкові спеціальності
121;Бойових машин піхоти;2. Загальновійськові спеціальності;2.3. Спеціальності бойових машин і бронетранспортерів
122;Бойових машин десанту;2. Загальновійськові спеціальності;2.3. Спеціальності бойових машин і бронетранспортерів
123;Гусеничних бронетранспортерів;2. Загальновійськові спеціальності;2.3. Спеціальності бойових машин і бронетранспортерів
124;Колісних бронетранспортерів;2. Загальновійськові спеціальності;2.3. Спеціальності бойових машин і бронетранспортерів
125;Бронетранспортерів десантних;2. Загальновійськові спеціальності;2.3. Спеціальності бойових машин і бронетранспортерів
126;Гусеничних розвідувальних машин;2. Загальновійськові спеціальності;2.3. Спеціальності бойових машин і бронетранспортерів
127;Мотоциклів;2. Загальновійськові спеціальності;2.3. Спеціальності бойових машин і бронетранспортерів
128;Гусеничних (колісних) протитанкових ракетних комплексів;2. Загальновійськові спеціальності;2.3. Спеціальності бойових машин і бронетранспортерів
129;Безекіпажних наземних комплексів (апаратів, систем);2. Загальновійськові спеціальності;2.3. Спеціальності бойових машин і бронетранспортерів
130;Бойових машин на бронетанковій базі зенітно-ракетних комплексів;2. Загальновійськові спеціальності;2.3. Спеціальності бойових машин і бронетранспортерів
132;Самохідних гармат 203-мм;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
133;Гармат 152-мм та 155-м;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
134;Самохідних гармат 152-мм та 155-мм;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
135;Гармат від 76-мм до 130-мм;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
136;Самохідних гармат від 76-мм до 130-мм;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
140;Реактивної артилерії;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
143;Мінометів від 60-мм до 120-мм;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
144;Самохідних мінометів від 82-мм до 120-мм;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
146;Артилерійської розвідки;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
147;Засобів управління артилерійською стрільбою;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
148;Баштових артилерійських установок;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
149;Електрообладнання артилерійських систем;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
153;Зенітних гармат 100-мм і більше;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
155;Зенітних гармат 57-мм;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
156;Зенітних гармат до 57-мм;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
157;Зенітних самохідних установок з радіоприладним комплексом;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
160;Зенітних кулеметів;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
161;Розвідки;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
162;Засобів управління стрільбою;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
163;Зенітних гарматно-ракетних комплексів;2. Загальновійськові спеціальності;2.4. Спеціальності артилерії
166;Інженерно-саперні;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
167;Переправних засобів;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
168;Інженерної розвідки;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
169;Маскування;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
170;Мостобудівних засобів;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
171;Лісозаготівельних і лісопильних засобів;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
172;Водолазних робіт (крім Військово-Морських Сил Збройних Сил України);2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
173;Гідротехнічних споруд;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
174;Польового водопостачання;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
175;Плаваючих інженерних машин;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
176;Механізованих мостів;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
177;Мостоукладачів;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
178;Машин для загородження;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
179;Машин для розгородження та розмінування;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
180;Дорожніх машин;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
181;Рятувальних та аварійно-відновлювальних робіт;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
182;Піротехнічних робіт;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
183;Керованого (дистанційного) мінування (розмінування);2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
184;Землерийних машин;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
185;Розмінування;2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
186;Інженерних безекіпажних наземних комплексів (апаратів, систем);2. Загальновійськові спеціальності;2.5. Інженерні спеціальності
187;Радіаційної, хімічної, біологічної розвідки та дозиметричного контролю;2. Загальновійськові спеціальності;2.6. Спеціальності військ радіаційного, хімічного, біологічного (РХБ) захисту
188;Розрахунково-аналітичних станцій;2. Загальновійськові спеціальності;2.6. Спеціальності військ радіаційного, хімічного, біологічного (РХБ) захисту
189;Засобів дегазації обмундирування та спорядження;2. Загальновійськові спеціальності;2.6. Спеціальності військ радіаційного, хімічного, біологічного (РХБ) захисту
190;Теплових засобів спеціальної обробки;2. Загальновійськові спеціальності;2.6. Спеціальності військ радіаційного, хімічного, біологічного (РХБ) захисту
191;Рідинних засобів спеціальної обробки;2. Загальновійськові спеціальності;2.6. Спеціальності військ радіаційного, хімічного, біологічного (РХБ) захисту
192;Термічних димових засобів;2. Загальновійськові спеціальності;2.6. Спеціальності військ радіаційного, хімічного, біологічного (РХБ) захисту
193;Вогнеметно-запалювальних засобів;2. Загальновійськові спеціальності;2.6. Спеціальності військ радіаційного, хімічного, біологічного (РХБ) захисту
194;Вогнеметних систем;2. Загальновійськові спеціальності;2.6. Спеціальності військ радіаційного, хімічного, біологічного (РХБ) захисту
195;Військ радіаційного, хімічного, біологічного (РХБ) захисту;2. Загальновійськові спеціальності;2.6. Спеціальності військ радіаційного, хімічного, біологічного (РХБ) захисту
196;Систем регенерації повітря та апаратури газового контролю;2. Загальновійськові спеціальності;2.6. Спеціальності військ радіаційного, хімічного, біологічного (РХБ) захисту
197;Радіометричного та хімічного аналізу;2. Загальновійськові спеціальності;2.6. Спеціальності військ радіаційного, хімічного, біологічного (РХБ) захисту
198;Безекіпажних наземних комплексів (апаратів, систем) РХБ захисту;2. Загальновійськові спеціальності;2.6. Спеціальності військ радіаційного, хімічного, біологічного (РХБ) захисту
200;Пошуку потерпілих;2. Загальновійськові спеціальності;2.7. Пошуково-рятувальні спеціальності
201;Розвідки об’єктів у місцях ураження (руїни);2. Загальновійськові спеціальності;2.7. Пошуково-рятувальні спеціальності
202;Робототехнічних засобів;2. Загальновійськові спеціальності;2.7. Пошуково-рятувальні спеціальності
203;Рятувальних робіт;2. Загальновійськові спеціальності;2.7. Пошуково-рятувальні спеціальності
205;Пошукової роботи та репатріаційних заходів;2. Загальновійськові спеціальності;2.7. Пошуково-рятувальні спеціальності
206;Перевезення тіл (останків) загиблих;2. Загальновійськові спеціальності;2.7. Пошуково-рятувальні спеціальності
210;Льотних екіпажів;3. Авіаційні спеціальності;3.1. Спеціальності льотних екіпажів, зовнішніх пілотів (операторів) безпілотних авіаційних комплексів, аеромобільної техніки, аеромобільної та диспетчерських служб
211;Диспетчерської служби;3. Авіаційні спеціальності;3.1. Спеціальності льотних екіпажів, зовнішніх пілотів (операторів) безпілотних авіаційних комплексів, аеромобільної техніки, аеромобільної та диспетчерських служб
212;Аеромобільної техніки;3. Авіаційні спеціальності;3.1. Спеціальності льотних екіпажів, зовнішніх пілотів (операторів) безпілотних авіаційних комплексів, аеромобільної техніки, аеромобільної та диспетчерських служб
213;Систем десантування;3. Авіаційні спеціальності;3.1. Спеціальності льотних екіпажів, зовнішніх пілотів (операторів) безпілотних авіаційних комплексів, аеромобільної техніки, аеромобільної та диспетчерських служб
214;Автоматичного обладнання та піротехнічних засобів десантування;3. Авіаційні спеціальності;3.1. Спеціальності льотних екіпажів, зовнішніх пілотів (операторів) безпілотних авіаційних комплексів, аеромобільної техніки, аеромобільної та диспетчерських служб
215;Аеростатів;3. Авіаційні спеціальності;3.1. Спеціальності льотних екіпажів, зовнішніх пілотів (операторів) безпілотних авіаційних комплексів, аеромобільної техніки, аеромобільної та диспетчерських служб
216;Безпілотних авіаційних комплексів (безпілотних літальних апаратів) літакового типу бойового та спеціального призначення;3. Авіаційні спеціальності;3.1. Спеціальності льотних екіпажів, зовнішніх пілотів (операторів) безпілотних авіаційних комплексів, аеромобільної техніки, аеромобільної та диспетчерських служб
217;Безпілотних авіаційних комплексів (безпілотних літальних апаратів) мультироторного типу бойового (розвідувальні, розвідки та цілевказання, радіоелектронної боротьби) та спеціального призначення;3. Авіаційні спеціальності;3.1. Спеціальності льотних екіпажів, зовнішніх пілотів (операторів) безпілотних авіаційних комплексів, аеромобільної техніки, аеромобільної та диспетчерських служб
218;Безпілотних авіаційних комплексів (безпілотних літальних апаратів) мультироторного типу ударного бойового призначення;3. Авіаційні спеціальності;3.1. Спеціальності льотних екіпажів, зовнішніх пілотів (операторів) безпілотних авіаційних комплексів, аеромобільної техніки, аеромобільної та диспетчерських служб
219;Безпілотних авіаційних комплексів (безпілотних літальних апаратів) з керуванням від першої особи бойового та спеціального призначення;3. Авіаційні спеціальності;3.1. Спеціальності льотних екіпажів, зовнішніх пілотів (операторів) безпілотних авіаційних комплексів, аеромобільної техніки, аеромобільної та диспетчерських служб
220;Літаків з реактивними (турбовентиляторними) двигунами;3. Авіаційні спеціальності;3.2. Спеціальності з експлуатації та ремонту планера та двигунових установок літальних апаратів
221;Літаків з турбогвинтовими та поршневими двигунами;3. Авіаційні спеціальності;3.2. Спеціальності з експлуатації та ремонту планера та двигунових установок літальних апаратів
223;Вертольотів з реактивними, турбогвинтовими та поршневими двигунами;3. Авіаційні спеціальності;3.2. Спеціальності з експлуатації та ремонту планера та двигунових установок літальних апаратів
225;Безпілотних авіаційних комплексів та безпілотних літальних апаратів;3. Авіаційні спеціальності;3.2. Спеціальності з експлуатації та ремонту планера та двигунових установок літальних апаратів
226;Авіаційних крилатих ракет;3. Авіаційні спеціальності;3.2. Спеціальності з експлуатації та ремонту планера та двигунових установок літальних апаратів
227;Авіаційних протичовнових ракет;3. Авіаційні спеціальності;3.2. Спеціальності з експлуатації та ремонту планера та двигунових установок літальних апаратів
228;Порохових і рідинних реактивних двигунів;3. Авіаційні спеціальності;3.2. Спеціальності з експлуатації та ремонту планера та двигунових установок літальних апаратів
233;Бомбардувального й артилерійського озброєння, автоматів пасивних перешкод та піротехнічних засобів;3. Авіаційні спеціальності;3.3. Спеціальності з експлуатації та ремонту авіаційного озброєння
234;Ракетного озброєння, систем наведення та управління ракетами;3. Авіаційні спеціальності;3.3. Спеціальності з експлуатації та ремонту авіаційного озброєння
235;Прицільно-навігаційних комплексів і обчислювальної техніки;3. Авіаційні спеціальності;3.3. Спеціальності з експлуатації та ремонту авіаційного озброєння
236;Засобів підготовки та контролю керованих ракет;3. Авіаційні спеціальності;3.3. Спеціальності з експлуатації та ремонту авіаційного озброєння
237;Авіаційного протичовнового та мінно-торпедного озброєння;3. Авіаційні спеціальності;3.3. Спеціальності з експлуатації та ремонту авіаційного озброєння
238;Десантно-транспортного та санітарного обладнання;3. Авіаційні спеціальності;3.3. Спеціальності з експлуатації та ремонту авіаційного озброєння
240;Безпілотних авіаційних комплексів (безпілотних літальних апаратів);3. Авіаційні спеціальності;3.3. Спеціальності з експлуатації та ремонту авіаційного озброєння
244;Бортової апаратури для засекречування, надшвидкодіючого зв’язку та електронних обчислювальних машин;3. Авіаційні спеціальності;3.4. Спеціальності з експлуатації та ремонту радіотехнічного, радіоелектронного, радіозв’язкового і протичовнового пошуково-прицільного обладнання літальних апаратів
245;Бортових радіолокаційних комплексів виявлення, цілевказання та наведення ракет;3. Авіаційні спеціальності;3.4. Спеціальності з експлуатації та ремонту радіотехнічного, радіоелектронного, радіозв’язкового і протичовнового пошуково-прицільного обладнання літальних апаратів
247;Бортових засобів pадіоелектpонної (електромагнітної) боротьби;3. Авіаційні спеціальності;3.4. Спеціальності з експлуатації та ремонту радіотехнічного, радіоелектронного, радіозв’язкового і протичовнового пошуково-прицільного обладнання літальних апаратів
248;Бортових радіоелектронних засобів розвідки;3. Авіаційні спеціальності;3.4. Спеціальності з експлуатації та ремонту радіотехнічного, радіоелектронного, радіозв’язкового і протичовнового пошуково-прицільного обладнання літальних апаратів
250;Радіозв’язкового обладнання літаків і вертольотів;3. Авіаційні спеціальності;3.4. Спеціальності з експлуатації та ремонту радіотехнічного, радіоелектронного, радіозв’язкового і протичовнового пошуково-прицільного обладнання літальних апаратів
251;Радіонавігаційного обладнання літаків і вертольотів;3. Авіаційні спеціальності;3.4. Спеціальності з експлуатації та ремонту радіотехнічного, радіоелектронного, радіозв’язкового і протичовнового пошуково-прицільного обладнання літальних апаратів
252;Радіоелектронної пошуково-пpицільної протичовнової апаратури та радіогідроакустичних скидних буїв;3. Авіаційні спеціальності;3.4. Спеціальності з експлуатації та ремонту радіотехнічного, радіоелектронного, радіозв’язкового і протичовнового пошуково-прицільного обладнання літальних апаратів
254;Радіоапаратури бомбометання та десантування;3. Авіаційні спеціальності;3.4. Спеціальності з експлуатації та ремонту радіотехнічного, радіоелектронного, радіозв’язкового і протичовнового пошуково-прицільного обладнання літальних апаратів
255;Радіоапаратури розпізнавання, оповіщення та активної відповіді;3. Авіаційні спеціальності;3.4. Спеціальності з експлуатації та ремонту радіотехнічного, радіоелектронного, радіозв’язкового і протичовнового пошуково-прицільного обладнання літальних апаратів
256;Радіотехнічного обладнання крилатих ракет і безпілотних літальних апаратів;3. Авіаційні спеціальності;3.4. Спеціальності з експлуатації та ремонту радіотехнічного, радіоелектронного, радіозв’язкового і протичовнового пошуково-прицільного обладнання літальних апаратів
260;Приладного обладнання літаків і вертольотів;3. Авіаційні спеціальності;3.5. Спеціальності з експлуатації та ремонту авіаційного обладнання
261;Кисневого обладнання та засобів життєзабезпечення екіпажу;3. Авіаційні спеціальності;3.5. Спеціальності з експлуатації та ремонту авіаційного обладнання
262;Електрообладнання літаків і вертольотів та авіаційних акумуляторних батарей;3. Авіаційні спеціальності;3.5. Спеціальності з експлуатації та ремонту авіаційного обладнання
263;Електронної автоматики, систем автоматизованого контролю та управління;3. Авіаційні спеціальності;3.5. Спеціальності з експлуатації та ремонту авіаційного обладнання
265;Бортових засобів реєстрації даних польоту;3. Авіаційні спеціальності;3.5. Спеціальності з експлуатації та ремонту авіаційного обладнання
266;Комплексних тренажерів;3. Авіаційні спеціальності;3.5. Спеціальності з експлуатації та ремонту авіаційного обладнання
268;Пілотажно-навігаційних комплексів;3. Авіаційні спеціальності;3.5. Спеціальності з експлуатації та ремонту авіаційного обладнання
269;Фотообладнання, оптико-електронної та квантово-електронної техніки;3. Авіаційні спеціальності;3.5. Спеціальності з експлуатації та ремонту авіаційного обладнання
270;Цільове навантаження безпілотних авіаційних комплексів (безпілотних літальних апаратів);3. Авіаційні спеціальності;3.5. Спеціальності з експлуатації та ремонту авіаційного обладнання
273;Приймання, оброблення та документування інформації радіотехнічної розвідки;3. Авіаційні спеціальності;3.6. Спеціальності наземних засобів авіаційних комплексів радіоелектронної розвідки
274;Приймання, оброблення та документування інформації радіолокаційної розвідки;3. Авіаційні спеціальності;3.6. Спеціальності наземних засобів авіаційних комплексів радіоелектронної розвідки
275;Приймання, оброблення та документування інформації телевізійної, оптико-електронної та квантово-електронної розвідки;3. Авіаційні спеціальності;3.6. Спеціальності наземних засобів авіаційних комплексів радіоелектронної розвідки
276;Приймання, оброблення та документування інформації, отриманої від безпілотного літального апарата;3. Авіаційні спеціальності;3.6. Спеціальності наземних засобів авіаційних комплексів радіоелектронної розвідки
279;Стартового та підйомно-транспортного обладнання безпілотних літальних апаратів;3. Авіаційні спеціальності;3.7. Спеціальності з експлуатації, ремонту і зберігання засобів наземного забезпечення польотів літальних апаратів
280;Аеродромно-експлуатаційних машин (установок);3. Авіаційні спеціальності;3.7. Спеціальності з експлуатації, ремонту і зберігання засобів наземного забезпечення польотів літальних апаратів
282;Теплотехнічних засобів (станцій, установок);3. Авіаційні спеціальності;3.7. Спеціальності з експлуатації, ремонту і зберігання засобів наземного забезпечення польотів літальних апаратів
283;Гідравлічних установок, електропневмогідроустановок та аеродромних пересувних електроагрегатів (систем);3. Авіаційні спеціальності;3.7. Спеціальності з експлуатації, ремонту і зберігання засобів наземного забезпечення польотів літальних апаратів
284;Установок (станцій) для заправлення (зарядження) вогнегасною сумішшю;3. Авіаційні спеціальності;3.7. Спеціальності з експлуатації, ремонту і зберігання засобів наземного забезпечення польотів літальних апаратів
285;Світлотехнічного обладнання аеродромів;3. Авіаційні спеціальності;3.7. Спеціальності з експлуатації, ремонту і зберігання засобів наземного забезпечення польотів літальних апаратів
286;Авіаційних і аеродромних кондиціонерів;3. Авіаційні спеціальності;3.7. Спеціальності з експлуатації, ремонту і зберігання засобів наземного забезпечення польотів літальних апаратів
300;Кораблеводіння;4. Військово-морські спеціальності;4.1. Загальнокорабельні й штурманські спеціальності та спеціальності морської піхоти
301;Зорового зв’язку;4. Військово-морські спеціальності;4.1. Загальнокорабельні й штурманські спеціальності та спеціальності морської піхоти
302;Кораблеводіння та зорового зв’язку;4. Військово-морські спеціальності;4.1. Загальнокорабельні й штурманські спеціальності та спеціальності морської піхоти
303;Корабельного палубного обладнання, плавзасобів, рангоуту та його оснащення;4. Військово-морські спеціальності;4.1. Загальнокорабельні й штурманські спеціальності та спеціальності морської піхоти
304;Навігаційних комплексів з інерційними системами;4. Військово-морські спеціальності;4.1. Загальнокорабельні й штурманські спеціальності та спеціальності морської піхоти
305;Навігаційних комплексів безінерційних систем;4. Військово-морські спеціальності;4.1. Загальнокорабельні й штурманські спеціальності та спеціальності морської піхоти
306;Радіонавігаційних систем;4. Військово-морські спеціальності;4.1. Загальнокорабельні й штурманські спеціальності та спеціальності морської піхоти
307;Електронавігаційних приладів;4. Військово-морські спеціальності;4.1. Загальнокорабельні й штурманські спеціальності та спеціальності морської піхоти
308;Радіоастрономічних і астронавігаційних засобів;4. Військово-морські спеціальності;4.1. Загальнокорабельні й штурманські спеціальності та спеціальності морської піхоти
309;Електронавігаційних приладів катерів;4. Військово-морські спеціальності;4.1. Загальнокорабельні й штурманські спеціальності та спеціальності морської піхоти
310;Морської десантної підготовки;4. Військово-морські спеціальності;4.1. Загальнокорабельні й штурманські спеціальності та спеціальності морської піхоти
311;Морських безекіпажних систем (комплексів);4. Військово-морські спеціальності;4.1. Загальнокорабельні й штурманські спеціальності та спеціальності морської піхоти
312;Приймання, обробка та документування інформації, отриманої від морського безекіпажного комплексу;4. Військово-морські спеціальності;4.1. Загальнокорабельні й штурманські спеціальності та спеціальності морської піхоти
320;Мінного озброєння;4. Військово-морські спеціальності;4.2. Спеціальності мінного, протичовнового та протимінного озброєння
321;Трального озброєння;4. Військово-морські спеціальності;4.2. Спеціальності мінного, протичовнового та протимінного озброєння
322;Мінного електрообладнання;4. Військово-морські спеціальності;4.2. Спеціальності мінного, протичовнового та протимінного озброєння
323;Трального електрообладнання;4. Військово-морські спеціальності;4.2. Спеціальності мінного, протичовнового та протимінного озброєння
324;Реактивних протичовнових бомбових установок;4. Військово-морські спеціальності;4.2. Спеціальності мінного, протичовнового та протимінного озброєння
325;Приладів управління бомбометанням;4. Військово-морські спеціальності;4.2. Спеціальності мінного, протичовнового та протимінного озброєння
326;Корабельних засобів розмінування;4. Військово-морські спеціальності;4.2. Спеціальності мінного, протичовнового та протимінного озброєння
330;Торпед парогазових;4. Військово-морські спеціальності;4.3. Спеціальності торпедного озброєння
331;Торпед на сильних окислювачах;4. Військово-морські спеціальності;4.3. Спеціальності торпедного озброєння
332;Електроторпед;4. Військово-морські спеціальності;4.3. Спеціальності торпедного озброєння
333;Надводних кораблів;4. Військово-морські спеціальності;4.3. Спеціальності торпедного озброєння
334;Контрольно-регулювальних засобів (станцій);4. Військово-морські спеціальності;4.3. Спеціальності торпедного озброєння
335;Торпедного електрообладнання;4. Військово-морські спеціальності;4.3. Спеціальності торпедного озброєння
336;Приладів управління торпедною стрільбою;4. Військово-морські спеціальності;4.3. Спеціальності торпедного озброєння
337;Підводних човнів;4. Військово-морські спеціальності;4.3. Спеціальності торпедного озброєння
340;Гідроакустичних комплексів;4. Військово-морські спеціальності;4.4. Спеціальності гідроакустичної техніки
341;Гідроакустичних станцій;4. Військово-морські спеціальності;4.4. Спеціальності гідроакустичної техніки
342;Гідроакустичних засобів авіації;4. Військово-морські спеціальності;4.4. Спеціальності гідроакустичної техніки
343;Гідроакустичних берегових засобів спостереження;4. Військово-морські спеціальності;4.4. Спеціальності гідроакустичної техніки
